effort,task,word,color,pressed_key,keyWord_rt,participant
RLX,color,red,yellow,yellow,0.813270796158868,6
RLX,color,red,yellow,yellow,0.809976947078348,6
RLX,color,yellow,yellow,yellow,0.746624522733892,6
RLX,color,red,red,red,0.704908518311004,6
RLX,color,green,blue,blue,0.862447189949573,6
RLX,color,green,red,red,0.812333238655049,6
RLX,color,yellow,blue,blue,0.770868432725361,6
RLX,color,yellow,green,green,0.757879809550757,6
RLX,color,blue,yellow,yellow,0.879764365227447,6
RLX,color,yellow,yellow,yellow,0.68180442700765,6
RLX,color,blue,blue,blue,0.721250794684358,6
RLX,color,blue,yellow,yellow,0.815876018536568,6
RLX,color,yellow,green,green,0.789921926920097,6
RLX,color,green,yellow,yellow,0.840041869467998,6
RLX,color,yellow,blue,blue,0.774345941476713,6
RLX,color,red,yellow,yellow,0.864531517188872,6
RLX,color,red,blue,blue,0.884100191135337,6
RLX,color,blue,yellow,yellow,0.914559626710165,6
RLX,color,blue,green,green,0.851426779398943,6
RLX,color,yellow,red,red,0.865352746370289,6
RLX,color,red,green,green,0.857426757473475,6
RLX,color,red,yellow,yellow,0.766364024961466,6
RLX,color,blue,green,green,0.810345982189719,6
RLX,color,blue,blue,blue,0.718335643689956,6
RLX,word,blue,green,blue,0.881186217066386,6
RLX,word,yellow,blue,yellow,0.827174402615529,6
RLX,word,green,blue,green,0.789327194250814,6
RLX,word,red,green,red,0.780909317448489,6
RLX,word,red,green,red,0.833975237076371,6
RLX,word,blue,blue,blue,0.728778424997836,6
RLX,word,red,green,red,0.815241509046337,6
RLX,word,yellow,blue,yellow,0.850855218360448,6
RLX,word,green,blue,green,0.842897986672919,6
RLX,word,red,blue,red,0.789544061101137,6
RLX,word,red,red,red,0.643168421134615,6
RLX,word,yellow,blue,yellow,0.847359652158638,6
RLX,word,yellow,blue,yellow,0.7306136855658,6
RLX,word,blue,blue,blue,0.598790936430626,6
RLX,word,red,blue,red,0.796513370482129,6
RLX,word,yellow,yellow,yellow,0.706308490413726,6
RLX,word,blue,blue,blue,0.674493816143045,6
RLX,word,yellow,red,yellow,0.785094289395023,6
RLX,word,red,green,red,0.84815094018944,6
RLX,word,yellow,red,yellow,0.794755996522449,6
RLX,word,green,red,green,0.763956454264307,6
RLX,word,blue,green,blue,0.782914828118748,6
RLX,word,blue,blue,blue,0.630841052384513,6
RLX,word,blue,yellow,blue,0.708692831175291,6
EXR,color,green,red,red,0.668611446654044,6
EXR,color,blue,red,red,0.68711617563857,6
EXR,color,red,green,green,0.740388635310063,6
EXR,color,blue,green,green,0.756183195624652,6
EXR,color,blue,red,red,0.709309750870684,6
EXR,color,red,yellow,yellow,0.720933610444461,6
EXR,color,red,green,green,0.677069667451521,6
EXR,color,green,yellow,yellow,0.689600700365266,6
EXR,color,red,yellow,yellow,0.692828075189856,6
EXR,color,yellow,yellow,yellow,0.721385291334562,6
EXR,color,red,blue,blue,0.699736705451558,6
EXR,color,red,green,green,0.763403558036507,6
EXR,color,green,green,green,0.654970033116872,6
EXR,color,green,red,red,0.724206859090618,6
EXR,color,yellow,blue,blue,0.682530198888523,6
EXR,color,blue,blue,blue,0.699308440364665,6
EXR,color,green,yellow,yellow,0.71604650257589,6
EXR,color,red,green,green,0.621458200615291,6
EXR,color,blue,yellow,yellow,0.701476519267064,6
EXR,color,blue,yellow,yellow,0.680528629446896,6
EXR,color,blue,blue,blue,0.789524151231563,6
EXR,color,red,yellow,yellow,0.75868208492268,6
EXR,color,green,red,red,0.703347847740369,6
EXR,color,red,red,red,0.673306853545997,6
EXR,word,blue,blue,blue,0.790494024575356,6
EXR,word,blue,yellow,blue,0.633060161844286,6
EXR,word,blue,red,blue,0.771532789868758,6
EXR,word,yellow,yellow,yellow,0.738036274010258,6
EXR,word,red,blue,red,0.756721262776813,6
EXR,word,red,red,red,0.757698655014733,6
EXR,word,blue,red,blue,0.602808302598548,6
EXR,word,green,red,green,0.726302425312656,6
EXR,word,yellow,green,yellow,0.706969407478832,6
EXR,word,yellow,red,yellow,0.706947795441939,6
EXR,word,yellow,red,yellow,0.674030635431265,6
EXR,word,red,blue,red,0.637254679043031,6
EXR,word,yellow,red,yellow,0.663920194608548,6
EXR,word,red,red,red,0.714597205607655,6
EXR,word,yellow,red,yellow,0.707894057861344,6
EXR,word,yellow,blue,yellow,0.731712618138228,6
EXR,word,red,red,red,0.733113408421807,6
EXR,word,blue,green,blue,0.657946770660784,6
EXR,word,red,green,red,0.704599272411549,6
EXR,word,blue,yellow,blue,0.727865035309502,6
EXR,word,yellow,green,yellow,0.669771639085646,6
EXR,word,red,yellow,red,0.7726926113497,6
EXR,word,red,red,red,0.737556763700098,6
EXR,word,blue,green,blue,0.688766431336874,6
