effort,task,word,color,pressed_key,keyWord_rt,participant
RLX,color,yellow,yellow,yellow,0.799089456198761,15
RLX,color,blue,green,green,0.749847897941681,15
RLX,color,red,yellow,yellow,0.692917210210427,15
RLX,color,blue,green,green,0.829800900284356,15
RLX,color,yellow,yellow,yellow,0.735062961669064,15
RLX,color,yellow,yellow,yellow,0.824219775929595,15
RLX,color,green,green,green,0.910298361277884,15
RLX,color,green,red,red,0.7414305829142,15
RLX,color,green,green,yellow,0.834934205463341,15
RLX,color,blue,green,green,0.802489682926098,15
RLX,color,green,red,red,0.767217908934564,15
RLX,color,red,yellow,yellow,0.863851251247616,15
RLX,color,green,green,green,0.91127110598591,15
RLX,color,red,red,red,0.792796585694992,15
RLX,color,blue,yellow,yellow,0.82802497769293,15
RLX,color,green,blue,blue,0.794046592404733,15
RLX,color,blue,blue,blue,0.880350278454444,15
RLX,color,green,green,green,0.822003042000668,15
RLX,color,green,blue,blue,0.827574943473841,15
RLX,color,green,yellow,yellow,0.881654985807425,15
RLX,color,green,green,green,0.864901356574003,15
RLX,color,blue,yellow,yellow,0.784094117421496,15
RLX,color,red,yellow,yellow,0.765758679323582,15
RLX,color,blue,red,red,0.901227536557331,15
RLX,word,red,yellow,red,0.783689354127798,15
RLX,word,green,red,green,0.804669189314247,15
RLX,word,blue,yellow,blue,0.75251960404544,15
RLX,word,yellow,yellow,yellow,0.802492549467948,15
RLX,word,red,yellow,red,0.791593307662314,15
RLX,word,blue,yellow,blue,0.804688253139457,15
RLX,word,blue,green,blue,0.841098867746484,15
RLX,word,green,blue,green,0.78577111492908,15
RLX,word,green,green,green,0.750332609482443,15
RLX,word,green,green,green,0.723445252038824,15
RLX,word,yellow,blue,yellow,0.77108179974656,15
RLX,word,yellow,yellow,yellow,0.888508216726561,15
RLX,word,yellow,yellow,yellow,0.895595676510177,15
RLX,word,blue,red,blue,0.790521246446989,15
RLX,word,blue,yellow,blue,0.800108192802763,15
RLX,word,red,green,red,0.814286134588329,15
RLX,word,red,blue,red,0.859703909180832,15
RLX,word,yellow,green,yellow,0.823886138148043,15
RLX,word,red,red,red,0.816032306149275,15
RLX,word,green,red,green,0.866327812206888,15
RLX,word,red,red,red,0.815502322735114,15
RLX,word,green,green,green,0.731738002561751,15
RLX,word,yellow,red,yellow,0.824144012863476,15
RLX,word,green,green,green,0.815863196302915,15
EXR,color,red,blue,blue,0.565700864987822,15
EXR,color,red,green,green,0.537946930627555,15
EXR,color,yellow,green,green,0.558468265557295,15
EXR,color,blue,yellow,yellow,0.522726881743745,15
EXR,color,red,blue,blue,0.609697447312252,15
EXR,color,yellow,blue,blue,0.581912886707596,15
EXR,color,yellow,blue,blue,0.602995264158846,15
EXR,color,green,green,green,0.561360192494348,15
EXR,color,blue,blue,blue,0.566896098973625,15
EXR,color,blue,blue,blue,0.530934782310147,15
EXR,color,blue,red,red,0.576936189416996,15
EXR,color,yellow,blue,blue,0.520705794733738,15
EXR,color,green,red,red,0.612054935543763,15
EXR,color,blue,green,green,0.548841460173322,15
EXR,color,yellow,blue,blue,0.490441914175634,15
EXR,color,yellow,red,red,0.528417603212016,15
EXR,color,green,green,green,0.51790932643029,15
EXR,color,green,blue,blue,0.559173291050987,15
EXR,color,green,yellow,yellow,0.539888065822017,15
EXR,color,blue,yellow,yellow,0.524541815892332,15
EXR,color,red,yellow,yellow,0.529336121869393,15
EXR,color,blue,blue,blue,0.581834805271845,15
EXR,color,red,blue,blue,0.596430557128156,15
EXR,color,yellow,green,green,0.548499983834826,15
EXR,word,green,green,green,0.520887244774629,15
EXR,word,red,green,red,0.597037994920084,15
EXR,word,red,blue,red,0.52482834383757,15
EXR,word,red,yellow,red,0.519230110249586,15
EXR,word,blue,red,blue,0.594134817689446,15
EXR,word,blue,green,blue,0.628105393932449,15
EXR,word,green,green,green,0.571511522615543,15
EXR,word,blue,yellow,blue,0.560828549746971,15
EXR,word,green,red,green,0.509620918391518,15
EXR,word,yellow,blue,yellow,0.581213992591417,15
EXR,word,green,blue,yellow,2.15089240617167,15
EXR,word,yellow,blue,yellow,0.559709207710495,15
EXR,word,blue,blue,blue,0.580413509415631,15
EXR,word,green,blue,green,0.494452806780017,15
EXR,word,blue,yellow,blue,0.560608820758538,15
EXR,word,yellow,yellow,yellow,0.49506514749063,15
EXR,word,green,green,green,0.576948005016289,15
EXR,word,green,red,green,0.541068685164276,15
EXR,word,yellow,red,yellow,0.547621864319886,15
EXR,word,blue,green,blue,0.522465604262552,15
EXR,word,red,yellow,red,0.542710984271094,15
EXR,word,green,blue,green,0.52769243528686,15
EXR,word,blue,green,blue,0.556704333195672,15
EXR,word,yellow,red,yellow,0.535263031413745,15
